"filename", "language", "JavaScript", "Markdown", "Vue", "JSON", "HTML", "Properties", "CSS", "comment", "blank", "total"
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\.eslintrc.cjs", "JavaScript", 10, 0, 0, 0, 0, 0, 0, 1, 1, 12
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\README.md", "Markdown", 0, 49, 0, 0, 0, 0, 0, 0, 41, 90
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\index.html", "HTML", 0, 0, 0, 0, 15, 0, 0, 0, 1, 16
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\package-lock.json", "JSON", 0, 0, 0, 6234, 0, 0, 0, 0, 1, 6235
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\App.vue", "Vue", 0, 0, 27, 0, 0, 0, 0, 2, 6, 35
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\demo.css", "CSS", 0, 0, 0, 0, 0, 0, 435, 19, 86, 540
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\demo_index.html", "HTML", 0, 0, 0, 0, 831, 0, 0, 2, 115, 948
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 119, 1, 37, 157
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\iconfont.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\icons\iconfont.json", "JSON", 0, 0, 0, 240, 0, 0, 0, 0, 1, 241
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\json\aqi-beijing.json", "JSON", 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui\src\assets\json\les-miserables.json", "JSON", 0, 0, 0, 248, 0, 0, 0, 0, 0, 248
