Date : 2023-08-02 16:22:39
Directory : f:\JavaProject\SpringCloud\projects\OpenTool-Cloud\opentool-ui
Total : 292 files,  234932 codes, 504 comments, 871 blanks, all 236307 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |        227 |    205,281 |          0 |         10 |    205,291 |
| JavaScript |         14 |     23,887 |        233 |        182 |     24,302 |
| Vue        |         45 |      4,301 |        249 |        381 |      4,931 |
| HTML       |          2 |        846 |          2 |        116 |        964 |
| CSS        |          2 |        554 |         20 |        123 |        697 |
| Markdown   |          1 |         49 |          0 |         41 |         90 |
| Properties |          1 |         14 |          0 |         18 |         32 |
+------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                             | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                |        292 |    234,932 |        504 |        871 |    236,307 |
| . (Files)                                                                                                                                        |          6 |      6,357 |          1 |         48 |      6,406 |
| src                                                                                                                                              |        286 |    228,575 |        503 |        823 |    229,901 |
| src (Files)                                                                                                                                      |          2 |         50 |          9 |         12 |         71 |
| src\assets                                                                                                                                       |        230 |    200,409 |         22 |        264 |    200,695 |
| src\assets\icons                                                                                                                                 |          5 |      1,626 |         22 |        239 |      1,887 |
| src\assets\json                                                                                                                                  |          3 |        250 |          0 |          0 |        250 |
| src\assets\models                                                                                                                                |        222 |    198,533 |          0 |         25 |    198,558 |
| src\assets\models\akari_gril_vts                                                                                                                 |         13 |      7,810 |          0 |          0 |      7,810 |
| src\assets\models\akari_gril_vts (Files)                                                                                                         |          6 |      5,339 |          0 |          0 |      5,339 |
| src\assets\models\akari_gril_vts\animations                                                                                                      |          3 |      2,421 |          0 |          0 |      2,421 |
| src\assets\models\akari_gril_vts\expressions                                                                                                     |          4 |         50 |          0 |          0 |         50 |
| src\assets\models\hijiki_cat_vts                                                                                                                 |         13 |     12,000 |          0 |          0 |     12,000 |
| src\assets\models\hijiki_cat_vts (Files)                                                                                                         |          4 |        564 |          0 |          0 |        564 |
| src\assets\models\hijiki_cat_vts\animations                                                                                                      |          9 |     11,436 |          0 |          0 |     11,436 |
| src\assets\models\hiyori_gril_vts                                                                                                                |         15 |     16,626 |          0 |          0 |     16,626 |
| src\assets\models\hiyori_gril_vts (Files)                                                                                                        |          5 |      2,816 |          0 |          0 |      2,816 |
| src\assets\models\hiyori_gril_vts\animations                                                                                                     |         10 |     13,810 |          0 |          0 |     13,810 |
| src\assets\models\rem                                                                                                                            |          3 |        560 |          0 |          1 |        561 |
| src\assets\models\tororo_cat_vts                                                                                                                 |         12 |     11,986 |          0 |          0 |     11,986 |
| src\assets\models\tororo_cat_vts (Files)                                                                                                         |          3 |        550 |          0 |          0 |        550 |
| src\assets\models\tororo_cat_vts\animations                                                                                                      |          9 |     11,436 |          0 |          0 |     11,436 |
| src\assets\models\wanko_dog_vts                                                                                                                  |         16 |      8,922 |          0 |          0 |      8,922 |
| src\assets\models\wanko_dog_vts (Files)                                                                                                          |          4 |        590 |          0 |          0 |        590 |
| src\assets\models\wanko_dog_vts\animations                                                                                                       |         12 |      8,332 |          0 |          0 |      8,332 |
| src\assets\models\兔兔                                                                                                                             |          9 |      2,085 |          0 |          2 |      2,087 |
| src\assets\models\兔兔 (Files)                                                                                                                     |          5 |      2,045 |          0 |          2 |      2,047 |
| src\assets\models\兔兔\expressions                                                                                                                 |          4 |         40 |          0 |          0 |         40 |
| src\assets\models\其他                                                                                                                             |        118 |    129,418 |          0 |          2 |    129,420 |
| src\assets\models\其他\Haru                                                                                                                        |         40 |     52,867 |          0 |          0 |     52,867 |
| src\assets\models\其他\Haru (Files)                                                                                                                |          5 |        871 |          0 |          0 |        871 |
| src\assets\models\其他\Haru\expressions                                                                                                            |          8 |        325 |          0 |          0 |        325 |
| src\assets\models\其他\Haru\motions                                                                                                                |         27 |     51,671 |          0 |          0 |     51,671 |
| src\assets\models\其他\Hiyori                                                                                                                      |         15 |     14,931 |          0 |          0 |     14,931 |
| src\assets\models\其他\Hiyori (Files)                                                                                                              |          5 |      2,245 |          0 |          0 |      2,245 |
| src\assets\models\其他\Hiyori\motions                                                                                                              |         10 |     12,686 |          0 |          0 |     12,686 |
| src\assets\models\其他\Mao                                                                                                                         |         18 |     19,368 |          0 |          0 |     19,368 |
| src\assets\models\其他\Mao (Files)                                                                                                                 |          4 |      2,264 |          0 |          0 |      2,264 |
| src\assets\models\其他\Mao\expressions                                                                                                             |          8 |      1,176 |          0 |          0 |      1,176 |
| src\assets\models\其他\Mao\motions                                                                                                                 |          6 |     15,928 |          0 |          0 |     15,928 |
| src\assets\models\其他\Mark                                                                                                                        |         10 |     10,394 |          0 |          0 |     10,394 |
| src\assets\models\其他\Mark (Files)                                                                                                                |          4 |        414 |          0 |          0 |        414 |
| src\assets\models\其他\Mark\motions                                                                                                                |          6 |      9,980 |          0 |          0 |      9,980 |
| src\assets\models\其他\Natori                                                                                                                      |         23 |     20,520 |          0 |          1 |     20,521 |
| src\assets\models\其他\Natori (Files)                                                                                                              |          4 |      1,802 |          0 |          1 |      1,803 |
| src\assets\models\其他\Natori\exp                                                                                                                  |         11 |      1,485 |          0 |          0 |      1,485 |
| src\assets\models\其他\Natori\motions                                                                                                              |          8 |     17,233 |          0 |          0 |     17,233 |
| src\assets\models\其他\Rice                                                                                                                        |          7 |      9,286 |          0 |          1 |      9,287 |
| src\assets\models\其他\Rice (Files)                                                                                                                |          3 |      2,238 |          0 |          1 |      2,239 |
| src\assets\models\其他\Rice\motions                                                                                                                |          4 |      7,048 |          0 |          0 |      7,048 |
| src\assets\models\其他\drawing                                                                                                                     |          5 |      2,052 |          0 |          0 |      2,052 |
| src\assets\models\姬萌                                                                                                                             |         23 |      9,126 |          0 |         20 |      9,146 |
| src\assets\models\姬萌 (Files)                                                                                                                     |          8 |      8,718 |          0 |         20 |      8,738 |
| src\assets\models\姬萌\expressions                                                                                                                 |         14 |        195 |          0 |          0 |        195 |
| src\assets\models\姬萌\motions                                                                                                                     |          1 |        213 |          0 |          0 |        213 |
| src\components                                                                                                                                   |         44 |      4,274 |        247 |        375 |      4,896 |
| src\components\layout                                                                                                                            |          1 |        375 |         36 |         35 |        446 |
| src\components\live2D                                                                                                                            |          1 |        227 |         84 |         35 |        346 |
| src\components\menu                                                                                                                              |         42 |      3,672 |        127 |        305 |      4,104 |
| src\components\menu\about                                                                                                                        |          3 |         29 |          0 |          7 |         36 |
| src\components\menu\ai-tool                                                                                                                      |          2 |         16 |          0 |          4 |         20 |
| src\components\menu\api-open-platform                                                                                                            |          2 |         16 |          0 |          4 |         20 |
| src\components\menu\authority                                                                                                                    |          2 |         16 |          0 |          4 |         20 |
| src\components\menu\dashboard                                                                                                                    |         25 |      3,318 |        121 |        251 |      3,690 |
| src\components\menu\dashboard (Files)                                                                                                            |          2 |        530 |         16 |         38 |        584 |
| src\components\menu\dashboard\dateAnalysis-charts                                                                                                |          5 |        529 |         14 |         53 |        596 |
| src\components\menu\dashboard\echarts                                                                                                            |          7 |        938 |         24 |         57 |      1,019 |
| src\components\menu\dashboard\echarts (Files)                                                                                                    |          4 |        681 |         18 |         31 |        730 |
| src\components\menu\dashboard\echarts\pies                                                                                                       |          3 |        257 |          6 |         26 |        289 |
| src\components\menu\dashboard\form-design                                                                                                        |          8 |        741 |         31 |         58 |        830 |
| src\components\menu\dashboard\form-design (Files)                                                                                                |          2 |        254 |          9 |         19 |        282 |
| src\components\menu\dashboard\form-design\step-form-parts                                                                                        |          6 |        487 |         22 |         39 |        548 |
| src\components\menu\dashboard\form-design\step-form-parts (Files)                                                                                |          4 |        286 |         12 |         19 |        317 |
| src\components\menu\dashboard\form-design\step-form-parts\graph                                                                                  |          2 |        201 |         10 |         20 |        231 |
| src\components\menu\dashboard\workbench-tab-pane                                                                                                 |          3 |        580 |         36 |         45 |        661 |
| src\components\menu\general-tool                                                                                                                 |          7 |        269 |          6 |         33 |        308 |
| src\components\menu\general-tool (Files)                                                                                                         |          1 |          8 |          0 |          2 |         10 |
| src\components\menu\general-tool\editor                                                                                                          |          4 |        133 |          5 |         20 |        158 |
| src\components\menu\general-tool\editor (Files)                                                                                                  |          2 |         24 |          0 |          4 |         28 |
| src\components\menu\general-tool\editor\markdowneditor                                                                                           |          1 |         51 |          1 |          5 |         57 |
